,responsibility_metric,responsibility_column,w_responsibility,capacity_metric,capacity_column,w_capacity,needs_metric,needs_column,w_needs,engagement_metric,engagement_column,w_engagement
RUN1,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.7
RUN2,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN Index,0.6
RUN3,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN Index,0.5
RUN4,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.4,UN Multilateral Engagement Score,UN Index,0.4
RUN5,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.5,UN Multilateral Engagement Score,UN Index,0.3
RUN6,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.6,UN Multilateral Engagement Score,UN Index,0.2
RUN7,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.7,UN Multilateral Engagement Score,UN Index,0.1
RUN8,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.6
RUN9,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN Index,0.5
RUN10,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN Index,0.4
RUN11,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.4,UN Multilateral Engagement Score,UN Index,0.3
RUN12,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.5,UN Multilateral Engagement Score,UN Index,0.2
RUN13,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.6,UN Multilateral Engagement Score,UN Index,0.1
RUN14,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.5
RUN15,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN Index,0.4
RUN16,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN Index,0.3
RUN17,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.4,UN Multilateral Engagement Score,UN Index,0.2
RUN18,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.5,UN Multilateral Engagement Score,UN Index,0.1
RUN19,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.4,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.4
RUN20,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.4,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN Index,0.3
RUN21,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.4,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN Index,0.2
RUN22,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.4,Climate Risk and Vulnerability Index,GAIN_CR,0.4,UN Multilateral Engagement Score,UN Index,0.1
RUN23,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.5,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.3
RUN24,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.5,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN Index,0.2
RUN25,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.5,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN Index,0.1
RUN26,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.6,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.2
RUN27,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.6,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN Index,0.1
RUN28,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI_avg,0.7,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.1
RUN29,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.6
RUN30,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN Index,0.5
RUN31,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN Index,0.4
RUN32,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.4,UN Multilateral Engagement Score,UN Index,0.3
RUN33,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.5,UN Multilateral Engagement Score,UN Index,0.2
RUN34,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI_avg,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.6,UN Multilateral Engagement Score,UN Index,0.1
RUN35,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.5
RUN36,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN Index,0.4
RUN37,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN Index,0.3
RUN38,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.4,UN Multilateral Engagement Score,UN Index,0.2
RUN39,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI_avg,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.5,UN Multilateral Engagement Score,UN Index,0.1
RUN40,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI_avg,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN Index,0.4
